| ---------- | ---------------- | --------------- | --------------- | ---------------- | ---------------- | --------------- | --------------- | -------------------- | -------------------- | -------------------- | --------------------- | -------------------- |
| 2014-07-02 |               84 |              74 |              94 |               75 |               93 |              66 |             104 |                1,924 |                1,894 |                 0.00 |                  0.16 |                 5.43 |
| 2014-07-03 |               84 |              73 |              94 |               75 |               93 |              66 |             100 |                1,977 |                1,980 |                 0.00 |                  0.16 |                 1.29 |
| 2014-07-09 |               85 |              74 |              95 |               75 |               93 |              64 |             102 |                1,905 |                1,980 |                 0.00 |                  0.14 |                 2.39 |
| 2014-07-11 |               83 |              72 |              94 |               75 |               93 |              64 |             103 |                1,905 |                1,980 |                 0.00 |                  0.13 |                 3.08 |
| 2014-07-15 |               82 |              75 |              89 |               75 |               94 |              64 |             103 |                1,967 |                2,000 |                 0.06 |                  0.12 |                 4.32 |
| 2014-07-17 |               83 |              76 |              89 |               75 |               94 |              67 |             104 |                1,974 |                1,980 |                 0.39 |                  0.10 |                 2.23 |
| 2014-07-20 |               83 |              73 |              93 |               75 |               94 |              69 |             102 |                1,970 |                2,000 |                 0.01 |                  0.11 |                 2.08 |
| 2014-07-23 |               86 |              76 |              95 |               75 |               94 |              64 |             101 |                1,970 |                1,980 |                 0.07 |                  0.11 |                 2.36 |
| 2014-07-25 |               85 |              74 |              95 |               75 |               94 |              65 |             102 |                1,894 |                1,964 |                 0.00 |                  0.10 |                 3.74 |
| 2014-07-27 |               87 |              77 |              97 |               75 |               95 |              66 |             101 |                1,902 |                1,995 |                 0.00 |                  0.10 |                 5.22 |
| 2014-07-29 |               83 |              74 |              92 |               75 |               95 |              64 |             101 |                1,994 |                1,907 |                 0.03 |                  0.10 |                 4.70 |
| 2014-07-30 |               83 |              72 |              94 |               75 |               95 |              68 |             102 |                1,994 |                1,914 |                 0.00 |                  0.09 |                 2.11 |
| 2014-07-31 |               84 |              73 |              94 |               75 |               95 |              67 |             103 |                1,936 |                1,998 |                 3.91 |                  0.09 |                 3.91 |
| 2014-08-03 |               81 |              72 |              89 |               75 |               95 |              66 |             103 |                1,949 |                1,998 |                 0.00 |                  0.10 |                 1.77 |
| 2014-08-06 |               85 |              75 |              94 |               75 |               95 |              64 |             101 |                1,891 |                1,947 |                 0.00 |                  0.11 |                 1.20 |
| 2014-08-12 |               87 |              76 |              97 |               75 |               95 |              64 |             105 |                1,989 |                1,962 |                 0.00 |                  0.11 |                 1.41 |
| 2014-08-14 |               83 |              73 |              93 |               75 |               95 |              65 |             102 |                2,004 |                2,007 |                 0.02 |                  0.11 |                 2.80 |
| 2014-08-15 |               86 |              75 |              96 |               75 |               95 |              61 |             101 |                2,004 |                1,994 |                 0.00 |                  0.11 |                 2.74 |
| 2014-08-17 |               88 |              78 |              97 |               75 |               95 |              60 |             104 |                1,992 |                1,909 |                 0.00 |                  0.12 |                 3.57 |
| 2014-08-19 |               85 |              76 |              94 |               75 |               95 |              69 |             107 |                2,000 |                1,909 |                 0.00 |                  0.13 |                 1.85 |
| 2014-08-22 |               87 |              75 |              98 |               75 |               94 |              64 |             106 |                1,976 |                1,980 |                 0.00 |                  0.13 |                 3.25 |
| 2014-08-26 |               86 |              74 |              97 |               74 |               94 |              57 |             104 |                1,891 |                2,011 |                 0.00 |                  0.14 |                 1.66 |
| 2014-08-28 |               83 |              76 |              90 |               74 |               94 |              63 |             107 |                1,992 |                2,011 |                 0.00 |                  0.14 |                 3.88 |
| 2014-09-06 |               85 |              75 |              95 |               73 |               92 |              56 |              99 |                1,974 |                1,909 |                 0.16 |                  0.14 |                 2.90 |
| 2014-09-07 |               84 |              73 |              95 |               72 |               92 |              59 |              98 |                1,891 |                1,963 |                 0.42 |                  0.15 |                 4.55 |
| 2014-09-13 |               72 |              67 |              77 |               71 |               90 |              56 |             102 |                1,907 |                2,011 |                 0.01 |                  0.15 |                 7.73 |
| 2014-09-16 |               83 |              75 |              91 |               70 |               90 |              53 |              98 |                1,979 |                1,995 |                 0.12 |                  0.13 |                 1.72 |
| 2014-09-19 |               79 |              73 |              84 |               69 |               89 |              51 |              97 |                1,981 |                1,995 |                 0.20 |                  0.12 |                 6.92 |
| 2014-09-21 |               82 |              73 |              91 |               68 |               88 |              53 |             100 |                1,983 |                2,005 |                 0.00 |                  0.13 |                 3.07 |
| 2014-09-24 |               75 |              64 |              85 |               67 |               88 |              48 |              95 |                1,975 |                2,013 |                 0.00 |                  0.13 |                 2.22 |
| 2014-09-25 |               74 |              68 |              80 |               67 |               87 |              50 |              99 |                1,994 |                2,005 |                 0.00 |                  0.13 |                 3.05 |
| 2014-10-01 |               83 |              72 |              93 |               65 |               86 |              44 |              99 |                1,984 |                1,900 |                 0.09 |                  0.15 |                 4.62 |
| 2014-10-02 |               82 |              71 |              93 |               65 |               86 |              47 |              97 |                1,984 |                1,938 |                 0.78 |                  0.16 |                 2.25 |
| 2014-10-06 |               75 |              65 |              84 |               64 |               85 |              44 |              94 |                1,975 |                1,928 |                 0.69 |                  0.17 |                 4.42 |
| 2014-10-07 |               78 |              65 |              90 |               63 |               84 |              46 |              95 |                1,889 |                1,956 |                 0.00 |                  0.17 |                 5.76 |
| 2014-10-15 |               68 |              51 |              84 |               61 |               82 |              40 |              92 |                1,978 |                1,947 |                 0.00 |                  0.20 |                 4.87 |
| 2014-10-16 |               72 |              57 |              87 |               61 |               82 |              41 |              92 |                1,893 |                1,989 |                 0.00 |                  0.21 |                 5.17 |
| 2014-10-20 |               71 |              59 |              83 |               60 |               81 |              32 |              93 |                1,989 |                2,004 |                 0.00 |                  0.20 |                 2.54 |
| 2014-10-25 |               70 |              55 |              85 |               59 |               80 |              39 |              91 |                1,980 |                1,950 |                 0.00 |                  0.20 |                 9.25 |
| 2014-10-28 |               73 |              60 |              86 |               58 |               79 |              36 |              90 |                1,898 |                1,991 |                 0.00 |                  0.18 |                 8.04 |
| 2014-10-30 |               67 |              55 |              79 |               57 |               78 |              33 |              89 |                1,917 |                2,004 |                 0.00 |                  0.17 |                 5.30 |
| 2014-11-01 |               55 |              45 |              65 |               57 |               77 |              35 |              89 |                1,993 |                2,010 |                 0.00 |                  0.15 |                 6.25 |
| 2014-11-05 |               69 |              64 |              74 |               55 |               76 |              31 |              88 |                1,991 |                1,963 |                 1.12 |                  0.16 |                 5.22 |
| 2014-11-06 |               62 |              58 |              66 |               55 |               76 |              36 |              88 |                1,993 |                1,963 |                 0.17 |                  0.15 |                 1.67 |
| 2014-11-07 |               57 |              49 |              65 |               55 |               75 |              29 |              88 |                1,993 |                2,002 |                 0.00 |                  0.15 |                 1.46 |
| 2014-11-18 |               44 |              32 |              55 |               51 |               72 |              28 |              84 |                1,959 |                1,973 |                 0.00 |                  0.14 |                 3.36 |
| 2014-11-19 |               50 |              30 |              69 |               51 |               71 |              30 |              85 |                2,014 |                1,985 |                 0.00 |                  0.14 |                 2.10 |
| 2014-11-21 |               64 |              61 |              66 |               50 |               71 |              29 |              84 |                1,937 |                1,999 |                 0.57 |                  0.14 |                 1.54 |
| 2014-11-25 |               54 |              41 |              66 |               49 |               69 |              29 |              86 |                1,950 |                1,967 |                 0.00 |                  0.14 |                 1.70 |
| 2014-11-30 |               71 |              61 |              80 |               48 |               68 |              19 |              82 |                1,976 |                1,950 |                 0.00 |                  0.15 |                 1.41 |
| 2014-12-05 |               72 |              65 |              79 |               46 |               66 |              26 |              83 |                2,009 |                1,998 |                 0.07 |                  0.13 |                 2.02 |
| 2014-12-06 |               65 |              58 |              71 |               46 |               66 |              20 |              82 |                1,950 |                1,951 |                 0.00 |                  0.13 |                 3.08 |
| 2014-12-10 |               56 |              42 |              69 |               45 |               65 |              20 |              83 |                1,978 |                1,939 |                 0.00 |                  0.12 |                 4.41 |
| 2014-12-11 |               64 |              56 |              72 |               45 |               65 |              26 |              83 |                1,957 |                2,007 |                 0.02 |                  0.12 |                 2.85 |
| 2014-12-17 |               54 |              44 |              64 |               44 |               64 |              20 |              80 |                1,932 |                1,984 |                 0.00 |                  0.12 |                 2.28 |
| 2014-12-20 |               52 |              50 |              54 |               44 |               63 |              21 |              81 |                1,996 |                1,951 |                 0.00 |                  0.12 |                 2.02 |
| 2014-12-21 |               55 |              48 |              61 |               44 |               63 |              21 |              82 |                1,973 |                2,010 |                 0.00 |                  0.12 |                 3.41 |
| 2014-12-22 |               64 |              55 |              72 |               44 |               63 |              13 |              81 |                1,989 |                1,981 |                 0.00 |                  0.11 |                 2.21 |
| 2014-12-28 |               44 |              41 |              46 |               43 |               63 |              15 |              80 |                1,894 |                1,996 |                 0.67 |                  0.11 |                 2.70 |
| 2015-01-02 |               51 |              47 |              54 |               43 |               63 |              16 |              81 |                1,928 |                2,000 |                 0.63 |                  0.10 |                 2.26 |
| 2015-01-04 |               46 |              36 |              56 |               43 |               62 |              18 |              79 |                1,911 |                1,997 |                 0.00 |                  0.11 |                 2.23 |
| 2015-01-05 |               43 |              31 |              54 |               43 |               62 |              22 |              80 |                1,972 |                1,998 |                 0.00 |                  0.11 |                 1.39 |
| 2015-01-08 |               35 |              28 |              42 |               43 |               62 |              19 |              79 |                1,996 |                1,957 |                 0.01 |                  0.11 |                 5.89 |
